title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数
粉色砂纸头套装，含1个圆柱形砂纸芯，迷你砂纸头，适用于美甲，高品质美甲配件_粉色砂纸尺寸120,粉色哑光，120码,6.5,https://cf.shopee.vn/file/vn-11134207-7ras8-maxogfxl6ok8af,http://shopee.vn/product/265718999/27753663056,指甲护理,打磨头,IVCN202508113970,270368532532,https://detail.1688.com/offer/920483114538.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688参考链接,04-20发布,27753663056,8.33,4月,1
角质层剪 D.03，方头，不锈钢剪钳，钢柄 - 羊羔剪钳，Lam_16 剪钳,16,13.12,https://cf.shopee.vn/file/vn-11134207-7ras8-mbrzkk3a96r6d2,http://shopee.vn/product/1392121361/26281558891,指甲护理,死皮剪,IVCN202509033192,218372415955,https://detail.1688.com/offer/722730282357.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688参考链接,04-20发布,26281558891,13.13,4月,1
角质层剪 D.03，方头，不锈钢剪钳，钢柄 - Lam 剪钳，Lam_14 钳子,14,15,https://cf.shopee.vn/file/vn-11134207-7ras8-mbrzkk3a96r6d2,http://shopee.vn/product/1392121361/26281558891,指甲护理,死皮剪,IVCN202509033616,218372415954,https://detail.1688.com/offer/722730282357.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688参考链接,04-20发布,26281558891,16.36,4月,1
银瑞超亮镜面面漆，优质产品,银瑞超亮镜面面漆，品质优良。,5.74,https://cf.shopee.vn/file/cn-11134207-7ras8-m6mpy9vr77rw95,http://shopee.vn/product/695651887/27405935337,指甲护理,甲油胶,IVCN202509050551,233023175238,https://detail.1688.com/offer/929646747390.html?spm=a26352.b28411319/2508.0.0.11f21e62miVNOB,1688参考链接,04-20发布,27405935337,5.75,4月,1
【优质】角质层剪钳 D.03，方头，不锈钢钳身，钢柄 - Lam 剪钳，Lam_12 钳子,12,16.24,https://cf.shopee.vn/file/vn-11134207-820l4-meccaawbah3849,http://shopee.vn/product/1392121361/26281558891,指甲护理,死皮剪,IVCN202510228915,218372415953,https://detail.1688.com/offer/870966544876.html?s,1688参考链接,04-20发布,26281558891,16.25,4月,1
草本热敷鞋，用于足部按摩，促进血液循环，放松身心，缓解疼痛_M码（女款），棕色,女款M码，棕色,2.15,https://cf.shopee.vn/file/vn-11134207-7ras8-m19jqk133twcb9,http://shopee.vn/product/91224674/24886329249,足部护理,足膜,IVCN2026010510554,223314149076,https://detail.1688.com/offer/546534734446.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688参考链接,04-20发布,24886329249,15.07,4月,1
UR SUGAR 透明凝胶指甲油 150g_01??,01??,17.91,https://cf.shopee.vn/file/cn-11134207-7r98o-luli8kzdfoda3f,http://shopee.vn/product/322573526/21670764775,指甲护理,甲油胶,IVCN202511030169,98569326401,https://detail.1688.com/offer/775648745722.html?,1688参考链接,04-20发布,21670764775,25.07,4月mall,1
KEM NGHIA MD.33 2024新款四件套高级不锈钢个人护理套装（橙色）,2024款新车型（橙色）,18,https://cf.shopee.vn/file/vn-11134207-7r98o-lsaot8fmw1c48d,http://shopee.vn/product/112790091/2266218427,指甲护理,死皮剪,IVCN202511242299,29449254743,https://detail.1688.com/offer/921357984757.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688参考链接,04-20发布,2266218427,55.67,4月mall,1
不锈钢角质层剪，三圆钳口，Nghia 剪 D.05X_16mm 刀片,16英寸刀片,25,https://cf.shopee.vn/file/vn-11134207-820l4-mgi2qmj046xa55,http://shopee.vn/product/112790091/2266218583,指甲护理,死皮剪,IVCN202511242345,64397272628,https://detail.1688.com/offer/870966544876.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688参考链接,04-20发布,2266218583,53.18,4月mall,1
【组合装4件套】钢制角质层钳 + 金色半月形角质层钳 + OPI指甲锉 + 木质角质层钳,【4件套组合】钢制角质层钳 + 金色半月形角质层钳 + OPI指甲锉 + 木质角质层推棒,11.63,https://cf.shopee.vn/file/vn-11134207-820l4-mg7dml1xqebw64,http://shopee.vn/product/10962910/26701703479,指甲护理,套组,IVCN202511245519,109180017728,"https://detail.1688.com/offer/852300166978.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0&tracelog=cps&clickid=79b065549950b4436fa7f01e74f509d8&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DA6FEAF87A2FCFBDD05C1BD6ABB449CE46147FC88EA630CBAC31FEFBD3966EDE4DF88C915D5486E33D1003E749B3EAAA5861098A75E16F4D226600F2847DABD1A5F0FFA4FF39BCCC320D4625E68D0D47AF6FEC9241CC79F982F2298161E9E1CDC177D6A8FE3F9FCBAD453E92F90A8176C60162C05C854D782CB08C56DCB2B08C07EEF6D6099BA67CE089F770C23C101B77E826CADFD7717D52B5F88AA89E132B3131538FE0688ECCA266E2F8AFC065FDFB965C1205D9F7B74FCF7C362B0C4520B8A452050552A7F09697648375DBE1BBAEF79B9EEA4C2AF7965F5637B4A27DF0F990089F9B73DF158%26cbu_cps_trace_flag%3Dwrite
https://detail.1688.com/offer/775017803690.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0
https://detail.1688.com/offer/644431044656.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i18&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982",1688参考链接,04-20发布,26701703479,14.85,4月,1
