title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数
角质层剪钳 D.03，方头，不锈钢剪钳，钢柄 - Lam 剪钳，Lam_16 钳子,16,12.86,https://cf.shopee.vn/file/vn-11134207-7ras8-mbrzkk3a96r6d2,http://shopee.vn/product/1392121361/26281558891,指甲护理,死皮剪,IVCN202509033192,218372415955,https://detail.1688.com/offer/722730282357.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688参考链接,04-20发布,26281558891,12.87,4月,1
角质层剪钳 D.03，方头，不锈钢剪钳，钢柄 - Lam 剪钳，Lam_14 钳子,14,15,https://cf.shopee.vn/file/vn-11134207-7ras8-mbrzkk3a96r6d2,http://shopee.vn/product/1392121361/26281558891,指甲护理,死皮剪,IVCN202509033616,218372415954,https://detail.1688.com/offer/722730282357.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688参考链接,04-20发布,26281558891,15.58,4月,1
UR SUGAR 透明凝胶指甲油 150g_01🔥,01🔥,19.78,https://cf.shopee.vn/file/cn-11134207-7r98o-luli8kzdfoda3f,http://shopee.vn/product/322573526/21670764775,指甲护理,甲油胶,IVCN202511030169,98569326401,https://detail.1688.com/offer/775648745722.html?,1688参考链接,04-20发布,21670764775,27.48,4月mall,1
KEM NGHIA MD.33 2024新款四件套高级不锈钢个人护理套装（橙色）,2024款新车型（橙色）,18,https://cf.shopee.vn/file/vn-11134207-7r98o-lsaot8fmw1c48d,http://shopee.vn/product/112790091/2266218427,指甲护理,死皮剪,IVCN202511242299,29449254743,https://detail.1688.com/offer/921357984757.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688参考链接,04-20发布,2266218427,53.99,4月mall,1
不锈钢角质层剪，三圆钳口，Nghia 剪 D.05X_16mm 刀片,16英寸刀片,25,https://cf.shopee.vn/file/vn-11134207-820l4-mgi2qmj046xa55,http://shopee.vn/product/112790091/2266218583,指甲护理,死皮剪,IVCN202511242345,64397272628,https://detail.1688.com/offer/870966544876.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688参考链接,04-20发布,2266218583,52.82,4月mall,1
【组合装4件套】钢制角质层钳 + 金色半月形角质层钳 + OPI指甲锉 + 木质角质层钳,【4件套组合】钢制角质层钳 + 金色半月形角质层钳 + OPI指甲锉 + 木质角质层推棒,11.63,https://cf.shopee.vn/file/vn-11134207-820l4-mg7dml1xqebw64,http://shopee.vn/product/10962910/26701703479,指甲护理,套组,IVCN202511245519,109180017728,"https://detail.1688.com/offer/852300166978.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0&tracelog=cps&clickid=79b065549950b4436fa7f01e74f509d8&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DA6FEAF87A2FCFBDD05C1BD6ABB449CE46147FC88EA630CBAC31FEFBD3966EDE4DF88C915D5486E33D1003E749B3EAAA5861098A75E16F4D226600F2847DABD1A5F0FFA4FF39BCCC320D4625E68D0D47AF6FEC9241CC79F982F2298161E9E1CDC177D6A8FE3F9FCBAD453E92F90A8176C60162C05C854D782CB08C56DCB2B08C07EEF6D6099BA67CE089F770C23C101B77E826CADFD7717D52B5F88AA89E132B3131538FE0688ECCA266E2F8AFC065FDFB965C1205D9F7B74FCF7C362B0C4520B8A452050552A7F09697648375DBE1BBAEF79B9EEA4C2AF7965F5637B4A27DF0F990089F9B73DF158%26cbu_cps_trace_flag%3Dwrite
https://detail.1688.com/offer/775017803690.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0
https://detail.1688.com/offer/644431044656.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i18&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982",1688参考链接,04-20发布,26701703479,13.8,4月,1
三把方形头指甲钳组合装，白色，镀层，防锈，超锋利_三把方形头指甲钳组合装，白色，镀层，防锈，超锋利,3支装方头指甲钳，白色，防锈，超锋利,17.48,https://cf.shopee.vn/file/vn-11134207-7ras8-m4qx1o4u6tvz06,http://shopee.vn/product/10962910/25980538154,指甲护理,死皮剪,IVCN202511245861,158626674501,https://detail.1688.com/offer/664636052990.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i8&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688参考链接,04-20发布,25980538154,17.48,4月,1
美甲师手托（适用于T8、T9、T10、T11型机器（附带组装视频）） - 黑色，适用于T8、T9、T10、T11型机器,黑色，适用于T8、T9、T10、T11型号,40.44,https://cf.shopee.vn/file/vn-11134207-7ras8-md2uc23kn0pof7,http://shopee.vn/product/75386966/42211689572,指甲护理,手枕,IVCN202512035930,271429704696,https://detail.1688.com/offer/816002571850.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688参考链接,04-20发布,42211689572,40.45,4月,1
美甲师手托（适用于T8、T9、T10、T11型机器（附带组装视频）） - 灰色，适用于T8、T9、T10、T11型机器,灰色，适用于T8 T9 T10 T11机型,40.46,https://cf.shopee.vn/file/vn-11134207-7ras8-md2uc23kn0pof7,http://shopee.vn/product/75386966/42211689572,指甲护理,手枕,IVCN202512035932,271429704697,https://detail.1688.com/offer/816002571850.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688参考链接,05-18发布,42211689572,40.46,6月,1
ROUni 甜美透明糖果果冻凝胶指甲油，色彩多样独特，专为美甲行业设计——马卡龙糖果套装,套装马卡龙糖果,12.69,https://cf.shopee.vn/file/vn-11134207-820l4-megvurqygkxz77,http://shopee.vn/product/1618360778/42071499200,指甲护理,甲油胶,IVCN202512036032,276809689012,https://detail.1688.com/offer/969159873341.html?spm=a26352.13672862.offerlist.11.41941e62YI7J5W&offerId=969159873341&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=5917081217294&trace_log=normal&uuid=b63d6294bdb34ff5a8fc9b49968289ad&forcePC=1763462275638,1688参考链接,05-18发布,42071499200,12.69,6月,1
